englishWord,kannadaMeaning,pronunciation,kannadaDefinition,simpleExplanation,exampleUsage,kannadaExample,subject
"Virus","ವೈರಸ್","Virus","Infectious tiny agent.","Flu is caused by a virus.","The virus spreads quickly.","ವೈರಸ್ ವೇಗವಾಗಿ ಹರಡುತ್ತದೆ.","Science"
"Bacteria","ಬ್ಯಾಕ್ಟೀರಿಯಾ","Bacteria","Single-celled life.","Some bacteria are good.","Bacteria decompose waste.","ಬ್ಯಾಕ್ಟೀರಿಯಾಗಳು ತ್ಯಾಜ್ಯವನ್ನು ಕೊಳೆಸುತ್ತವೆ.","Science"
"Fungi","ಶಿಲೀಂಧ್ರ","Fungi","Spore producers.","Mushrooms are fungi.","Fungi grow in damp places.","ಶಿಲೀಂಧ್ರಗಳು ತೇವವಿರುವ ಕಡೆ ಬೆಳೆಯುತ್ತವೆ.","Science"
"Algae","ಪಾಚಿ","Algae","Aquatic plant-like.","Ponds have green algae.","Algae produce oxygen.","ಪಾಚಿ ಆಮ್ಲಜನಕವನ್ನು ಉತ್ಪಾದಿಸುತ್ತದೆ.","Science"
"Parasite","ಪರಾವಲಂಬಿ","Parasite","Lives on a host.","Ticks are parasites.","The parasite harms the host.","ಪರಾವಲಂಬಿ ಆತಿಥೇಯನಿಗೆ ಹಾನಿ ಮಾಡುತ್ತದೆ.","Science"
"Mutation","ವಿಕೃತಿ","Mutation","Genetic change.","Mutations lead to evolution.","A rare mutation occurred.","ವಿಕೃತಿ ಸಂಭವಿಸಿತು.","Science"
"Adaptation","ಹೊಂದಾಣಿಕೆ","Adaptation","Survival adjustment.","Camel humps are an adaptation.","Adaptation to desert life.","ಮರುಭೂಮಿಗೆ ಹೊಂದಾಣಿಕೆ.","Science"
"Atom","ಪರಮಾಣು","Atom","Smallest unit of matter.","Atoms form molecules.","Splitting the atom.","ಪರಮಾಣುವನ್ನು ವಿಭಜಿಸುವುದು.","Science"
"Molecule","ಅಣು","Molecule","Group of atoms.","Water is a molecule.","H2O molecule.","H2O ಅಣು.","Science"
"Acceleration","ವೇಗೋತ್ಕರ್ಷ","Acceleration","Rate of speed change.","Constant acceleration.","Uniform acceleration.","ಸ್ಥಿರ ವೇಗೋತ್ಕರ್ಷ.","Science"
"Velocity","ವೇಗ","Velocity","Speed with direction.","Calculate the velocity.","Velocity of a car.","ಕಾರಿನ ವೇಗ.","Science"
"Force","ಬಲ","Force","Push or pull.","Apply force to the ball.","Force equals mass times accel.","ಬಲವು ದ್ರವ್ಯರಾಶಿ ಮತ್ತು ವೇಗೋತ್ಕರ್ಷಕ್ಕೆ ಸಮ.","Science"
"Anatomy","ಅಂಗರಚನಾಶಾಸ್ತ್ರ","Anatomy","Body structure study.","Doctors study anatomy.","ಅಂಗರಚನಾಶಾಸ್ತ್ರ ಅಧ್ಯಯನ.","Science"
"Botany","ಸಸ್ಯಶಾಸ್ತ್ರ","Botany","Study of plants.","Major in botany.","ಸಸ್ಯಶಾಸ್ತ್ರದಲ್ಲಿ ಪದವಿ.","Science"
"Zoology","ಪ್ರಾಣಿಶಾಸ್ತ್ರ","Zoology","Study of animals.","Explore zoology.","ಪ್ರಾಣಿಶಾಸ್ತ್ರ ಸಂಶೋಧನೆ.","Science"
"Ecology","ಪರಿಸರ ವಿಜ್ಞಾನ","Ecology","Living things study.","Ecology studies nature.","ಪರಿಸರ ವಿಜ್ಞಾನ ಅಧ್ಯಯನ.","Science"
"Physics","ಭೌತಶಾಸ್ತ್ರ","Physics","Matter and energy.","Laws of physics.","ಭೌತಶಾಸ್ತ್ರದ ನಿಯಮಗಳು.","Science")
"Chemistry","ರಸಾಯನಶಾಸ್ತ್ರ","Chemistry","Substance study.","Lab chemistry.","ಪ್ರಯೋಗಾಲಯ ರಸಾಯನಶಾಸ್ತ್ರ.","Science"
"Trigonometry","ತ್ರಿಕೋಣಮಿತಿ","Trigonometry","ತ್ರಿಕೋನಗಳ ಬಾಹುಗಳು ಮತ್ತು ಕೋನಗಳ ನಡುವಿನ ಸಂಬಂಧದ ಅಧ್ಯಯನ.","Relationship between sides/angles.","Architects use trigonometry.","ವಾಸ್ತುಶಿಲ್ಪಿಗಳು ತ್ರಿಕೋಣಮಿತಿಯನ್ನು ಬಳಸುತ್ತಾರೆ.","Math"
"Hypotenuse","ಕರ್ಣ","Hypotenuse","ಲಂಬಕೋನ ತ್ರಿಕೋನದಲ್ಲಿ ಅತಿ ಉದ್ದವಾದ ಬಾಹು.","Longest side of right triangle.","Calculate the hypotenuse.","ಕರ್ಣದ ಉದ್ದವನ್ನು ಲೆಕ್ಕ ಹಾಕಿ.","Math"
"Algorithm","ಕ್ರಮವಿಧಾನ","Algorithm","ಸಮಸ್ಯೆಯನ್ನು ಬಿಡಿಸಲು ಅನುಸರಿಸುವ ಹಂತ ಹಂತದ ವಿಧಾನ.","Step-by-step procedure.","Computers follow algorithms.","ಕಂಪ್ಯೂಟರ್‌ಗಳು ಕ್ರಮವಿಧಾನಗಳನ್ನು ಅನುಸರಿಸುತ್ತವೆ.","Math"
"Variable","ಚರಾಕ್ಷರ","Variable","Unknown value symbol.","x is a common variable.","x ಒಂದು ಸಾಮಾನ್ಯ ಚರಾಕ್ಷರವಾಗಿದೆ.","Math"
"Constant","ಸ್ಥಿರಾಂಕ","Constant","Fixed value.","7 is a constant.","7 ಒಂದು ಸ್ಥಿರಾಂಕವಾಗಿದೆ.","Math"
"Coefficient","ಗುಣಕ","Coefficient","Variable multiplier.","In 5x, 5 is the coefficient.","5x ನಲ್ಲಿ, 5 ಗುಣಕವಾಗಿದೆ.","Math"
"Expression","ಬೀಜೋಕ್ತಿ","Expression","Group of terms.","2x + 3 is an expression.","2x + 3 ಒಂದು ಬೀಜೋಕ್ತಿಯಾಗಿದೆ.","Math"
"Equation","ಸಮೀಕರಣ","Equation","Statement of equality.","x + 2 = 5 is an equation.","x + 2 = 5 ಒಂದು ಸಮೀಕರಣವಾಗಿದೆ.","Math"
"Identity","ನಿತ್ಯ ಸಮೀಕರಣ","Identity","Always true equation.","Algebraic identities are useful.","ಬೀಜಗಣಿತದ ನಿತ್ಯ ಸಮೀಕರಣಗಳು ಉಪಯುಕ್ತವಾಗಿವೆ.","Math"
"Polynomial","ಬಹುಪದ","Polynomial","Multi-term expression.","x^2 + 2x is a polynomial.","x^2 + 2x ಒಂದು ಬಹುಪದವಾಗಿದೆ.","Math"
"Ratio","ಅನುಪಾತ","Ratio","Quantity comparison.","The milk-to-water ratio is 2:1.","ಹಾಲು ಮತ್ತು ನೀರಿನ ಅನುಪಾತ.","Math"
"Percentage","ಶೇಕಡಾವಾರು","Percentage","Rate per hundred.","The score is 90 percent.","ಅಂಕ 90 ಪ್ರತಿಶತ.","Math"
"Average","ಸರಾಸರಿ","Average","Mean value.","Find the average score.","ಸರಾಸರಿ ಅಂಕ ಕಂಡುಹಿಡಿಯಿರಿ.","Math"
"Calculus","ಕಲನಶಾಸ್ತ್ರ","Calculus","Math of change.","Calculus is complex.","ಕಲನಶಾಸ್ತ್ರ ಅಧ್ಯಯನ.","Math"
"Matrix","ಮ್ಯಾಟ್ರಿಕ್ಸ್","Matrix","Arrangement of numbers.","Matrices in algebra.","ಬೀಜಗಣಿತದಲ್ಲಿ ಮ್ಯಾಟ್ರಿಕ್ಸ್.","Math"
"Geometry","ಜ್ಯಾಮಿತಿ","Geometry","Shapes study.","Plane geometry.","ಜ್ಯಾಮಿತಿ ಅಧ್ಯಯನ.","Math"
"Algebra","ಬೀಜಗಣಿತ","Algebra","Letters math.","Solve algebra.","ಬೀಜಗಣಿತ ಬಿಡಿಸಿ.","Math"
"Statistics","ಅಂಕಿಅಂಶ","Statistics","Data analysis.","Vital stats.","ಪ್ರಮುಖ ಅಂಕಿಅಂಶಗಳು.","Math"
"Probability","ಸಂಭಾವ್ಯತೆ","Probability","Chances math.","Win probability.","ಗೆಲ್ಲುವ ಸಂಭವನೀಯತೆ.","Math"
"Logarithm","ಲಘುಗಣಕ","Logarithm","Power inverse.","Log base 10.","ಲಘುಗಣಕ ಲೆಕ್ಕ ಹಾಕಿ.","Math"
"Inflation","ಹಣದುಬ್ಬರ","Inflation","ವಸ್ತುಗಳ ಬೆಲೆ ಹೆಚ್ಚಾಗಿ ಹಣದ ಮೌಲ್ಯ ಕಡಿಮೆಯಾಗುವ ಸ್ಥಿತಿ.","Prices going up.","Inflation makes items more expensive.","ಹಣದುಬ್ಬರವು ವಸ್ತುಗಳನ್ನು ದುಬಾರಿಯಾಗಿಸುತ್ತದೆ.","Commerce"
"Liability","ಹೊಣೆಗಾರಿಕೆ","Liability","ಸಂಸ್ಥೆಯು ಇತರರಿಗೆ ಪಾವತಿಸಬೇಕಾದ ಸಾಲ.","Money owed.","Bank loan is a liability.","ಬ್ಯಾಂಕ್ ಸಾಲ ಒಂದು ಹೊಣೆಗಾರಿಕೆ.","Commerce"
"Asset","ಆಸ್ತಿ","Asset","ಸಂಸ್ಥೆಯ ಮಾಲೀಕತ್ವದಲ್ಲಿರುವ ಬೆಲೆಬಾಳುವ ವಸ್ತು.","Owned value.","Cash is a business asset.","ನಗದು ವ್ಯವಹಾರದ ಆಸ್ತಿ.","Commerce"
"Shares","ಷೇರುಗಳು","Shares","ಕಂಪನಿಯ ಬಂಡವಾಳದ ಸಣ್ಣಭಾಗಗಳು.","Ownership units.","Buying shares in a company.","ಕಂಪನಿಯಲ್ಲಿ ಷೇರು ಖರೀದಿ.","Commerce"
"Dividend","ಲಾಭಾಂಶ","Dividend","ಲಾಭದಲ್ಲಿ ಷೇರುದಾರರಿಗೆ ನೀಡುವ ಭಾಗ.","Profit share.","Investors receive dividends.","ಹೂಡಿಕೆದಾರರಿಗೆ ಲಾಭಾಂಶ.","Commerce"
"Marketing","ಮಾರಾಟ ಪ್ರಕ್ರಿಯೆ","Marketing","ಉತ್ಪನ್ನಗಳ ಮಾರಾಟವನ್ನು ಹೆಚ್ಚಿಸುವ ಚಟುವಟಿಕೆಗಳು.","Promotion activities.","Social media marketing.","ಸಾಮಾಜಿಕ ಮಾಧ್ಯಮ ಮಾರಾಟ.","Commerce"
"Audit","ಲೆಕ್ಕ ಪರಿಶೋಧನೆ","Audit","ದಾಖಲೆಗಳ ಪರಿಶೀಲನೆ.","Account check.","Firms conduct audits.","ಸಂಸ್ಥೆಗಳು ಲೆಕ್ಕ ಪರಿಶೋಧನೆ ನಡೆಸುತ್ತವೆ.","Commerce"
"Capital","ಬಂಡವಾಳ","Capital","ಹೂಡಿಕೆ ಹಣ.","Business funds.","Start with capital.","ಬಂಡವಾಳದೊಂದಿಗೆ ಆರಂಭಿಸಿ.","Commerce"
"Revenue","ಆದಾಯ","Revenue","ಒಟ್ಟು ಗಳಿಕೆ.","Total income.","Increase revenue.","ಆದಾಯ ಹೆಚ್ಚಿಸಿ.","Commerce"
"Profit","ಲಾಭ","Profit","Earnings after costs.","Make a profit.","Net profit.","ನಿವ್ವಳ ಲಾಭ.","Commerce"
"Economics","ಅರ್ಥಶಾಸ್ತ್ರ","Economics","Wealth study.","Global economics.","ಜಾಗತಿಕ ಅರ್ಥಶಾಸ್ತ್ರ.","Commerce"
"Finance","ಹಣಕಾಸು","Finance","Money management.","Personal finance.","ವೈಯಕ್ತಿಕ ಹಣಕಾಸು.","Commerce"
"Accounting","ಲೆಕ್ಕಪತ್ರ ನಿರ್ವಹಣೆ","Accounting","Business records.","Study accounting.","ಲೆಕ್ಕಪತ್ರ ನಿರ್ವಹಣೆ ಅಧ್ಯಯನ.","Commerce"
"Management","ನಿರ್ವಹಣೆ","Management","Organizing work.","Good management.","ಉತ್ತಮ ನಿರ್ವಹಣೆ.","Commerce"
"Startup","ಹೊಸ ಉದ್ಯಮ","Startup","New company.","Tech startup.","ಸಣ್ಣ ಉದ್ಯಮ.","Commerce"
"Export","ರಫ್ತು","Export","Selling abroad.","Export tea.","ಚಹಾ ರಫ್ತು.","Commerce"
"Import","ಆಮದು","Import","Buying abroad.","Import oil.","ತೈಲ ಆಮದು.","Commerce"
"Budget","ಬಜೆಟ್","Budget","Spending plan.","Annual budget.","ಕುಟುಂಬದ ಬಜೆಟ್.","Commerce"
"Tax","ತೆರಿಗೆ","Tax","Govt levy.","Pay tax.","ತೆರಿಗೆ ಪಾವತಿಸಿ.","Commerce"
"Credit","ಜಮೆ / ಸಾಲಸೌಲಭ್ಯ","Credit","Buy now pay later.","Credit card.","ಸಾಲದ ಕಾರ್ಡ್.","Commerce"
